school,region,method,old_lat,old_lon,new_lat,new_lon
ASAMANKESE SENIOR HIGH SCHOOL,EASTERN,SCHOOL_OVERRIDE,9.4226781,-0.8620235,5.8667,-0.6583
ODA SENIOR HIGH SCHOOL,EASTERN,TOWN_LOOKUP:AKIM ODA,5.9668857,-0.9929572,5.9167,-0.9833
KWABENG ANGLICAN SENIOR HIGH/TECH SCHOOL,EASTERN,SCHOOL_OVERRIDE,7.4635891,-1.9709609,6.4833,-0.8167
"GHANA SENIOR HIGH SCHOOL, KOFORIDUA",EASTERN,TOWN_LOOKUP:KOFORIDUA,6.11494,-0.277781,6.0833,-0.2667
"POPE JOHN SENIOR HIGH & MIN. SEM. SCHOOL, KOFORIDUA",EASTERN,TOWN_LOOKUP:KOFORIDUA,6.11494,-0.277781,6.0833,-0.2667
KOFORIDUA SENIOR HIGH/TECH SCHOOL,EASTERN,TOWN_LOOKUP:KOFORIDUA,5.9668857,-0.9929572,6.0833,-0.2667
"PRESBY SENIOR HIGH SCHOOL, SUHUM",EASTERN,TOWN_LOOKUP:SUHUM,6.3325025,-0.4784514,6.05,-0.45
NEW JUABEN SENIOR HIGH/COMM SCHOOL,EASTERN,SCHOOL_OVERRIDE,5.9926294,0.8187733,6.0833,-0.2667
SUHUM SENIOR HIGH/TECH SCHOOL,EASTERN,TOWN_LOOKUP:SUHUM,6.6556435,-1.1071968,6.05,-0.45
"ISLAMIC GIRLS SENIOR HIGH SCHOOL,SUHUM",EASTERN,SCHOOL_OVERRIDE,9.3815355,-0.8511432,6.05,-0.45
KWAHU RIDGE SENIOR HIGH SCHOOL,EASTERN,SCHOOL_OVERRIDE,10.6593164,-1.268658,6.5833,-0.7167
MPRAESO SENIOR HIGH SCHOOL,EASTERN,SCHOOL_OVERRIDE,5.9926294,0.8187733,6.5833,-0.7167
ST. MARY'S VOC./TECH. INST.,EASTERN,TOWN_LOOKUP:ADIEMBRA,7.0592349,-0.0621059,4.9167,-1.8667
ASUOM SENIOR HIGH SCHOOL,EASTERN,SCHOOL_OVERRIDE,5.4234565,-0.9611574,6.2333,-0.8333
"PENTECOST SENIOR HIGH SCHOOL,KOFORIDUA",EASTERN,TOWN_LOOKUP:KOFORIDUA,6.11494,-0.277781,6.0833,-0.2667
